Name,Conffirmed,Deaths,Cures
湖北,29612,33366,1068
武汉,17358,19558,820
孝感,2527,2751,45
黄冈,2002,2398,54
随州,1061,1129,12
荆州,1009,1110,21
襄阳,1016,1088,12
黄石,767,874,6
鄂州,761,861,28
宜昌,714,784,8
荆门,588,696,24
十堰,456,536,1
咸宁,443,525,6
仙桃,404,460,13
天门,271,293,10
恩施州,155,203,3
潜江,77,90,5
神农架林区,3,10,0
广东,943,1219,1
深圳,304,304,304
广州,252,252,252
珠海,66,66,66
佛山,61,61,61
东莞,60,60,60
中山,41,41,41
惠州,50,50,50
汕头,17,17,17
湛江,12,12,12
江门,17,17,17
肇庆,8,8,8
阳江,8,8,8
梅州,8,8,8
茂名,12,12,12
清远,7,7,7
揭阳,5,5,5
韶关,4,4,4
汕尾,4,4,4
潮州,5,5,5
河源,2,2,2
河南,881,1135,8
信阳,193,193,193
南阳,100,100,100
郑州,90,90,90
驻马店,97,97,97
商丘,72,72,72
周口,46,46,46
平顶山,39,39,39
新乡,45,45,45
安阳,39,39,39
许昌,31,31,31
漯河,27,27,27
洛阳,25,25,25
焦作,22,22,22
开封,23,23,23
鹤壁,15,15,15
濮阳,12,12,12
三门峡,4,4,4
济源,4,4,4
待明确地区,0,0,0
浙江,810,1131,0
温州,361,361,361
杭州,92,92,92
宁波,128,128,128
台州,97,97,97
金华,31,31,31
嘉兴,36,36,36
绍兴,28,28,28
衢州,16,16,16
丽水,10,10,10
舟山,5,5,5
湖州,6,6,6
湖南,640,946,2
长沙,167,167,167
岳阳,103,103,103
邵阳,60,60,60
常德,51,51,51
株洲,59,59,59
娄底,51,51,51
益阳,36,36,36
衡阳,22,22,22
永州,25,25,25
怀化,18,18,18
郴州,23,23,23
湘潭,21,21,21
湘西自治州,2,2,2
张家界,2,2,2
安徽,758,889,4
合肥,128,128,128
蚌埠,136,136,136
阜阳,121,121,121
亳州,85,85,85
安庆,65,65,65
六安,56,56,56
宿州,28,28,28
马鞍山,26,26,26
芜湖,27,27,27
铜陵,18,18,18
淮北,19,19,19
淮南,18,18,18
池州,13,13,13
滁州,8,8,8
黄山,8,8,8
宣城,2,2,2
江西,691,844,1
南昌,151,151,151
新余,91,91,91
上饶,101,101,101
九江,91,91,91
宜春,72,72,72
赣州,63,63,63
抚州,57,57,57
萍乡,27,27,27
吉安,16,16,16
鹰潭,17,17,17
景德镇,4,4,4
赣江新区,1,1,1
江苏,418,543,0
南京,63,63,63
苏州,68,68,68
徐州,50,50,50
无锡,39,39,39
淮安,41,41,41
连云港,34,34,34
南通,26,26,26
常州,24,24,24
泰州,30,30,30
盐城,15,15,15
扬州,12,12,12
镇江,10,10,10
宿迁,6,6,6
重庆,419,509,3
万州区,86,86,86
江北区,23,23,23
云阳县,10,10,10
九龙坡区,18,18,18
合川区,17,17,17
开州区,8,8,8
垫江县,19,19,19
渝中区,19,19,19
忠县,12,12,12
綦江区,18,18,18
奉节县,15,15,15
长寿区,13,13,13
两江新区,14,14,14
渝北区,13,13,13
潼南区,15,15,15
大足区,13,13,13
石柱县,11,11,11
巫溪县,7,7,7
丰都县,9,9,9
巫山县,6,6,6
南岸区,10,10,10
璧山区,7,7,7
铜梁区,8,8,8
荣昌区,8,8,8
沙坪坝区,8,8,8
大渡口区,6,6,6
巴南区,4,4,4
永川区,4,4,4
江津区,3,3,3
梁平区,2,2,2
高新区,4,4,4
涪陵区,3,3,3
城口县,1,1,1
黔江区,0,0,0
彭水县,2,2,2
秀山县,0,0,0
武隆区,1,1,1
酉阳县,1,1,1
万盛经开区,1,1,1
山东,403,497,2
青岛,39,39,39
济南,40,40,40
临沂,35,35,35
烟台,40,40,40
济宁,30,30,30
威海,29,29,29
潍坊,33,33,33
聊城,35,35,35
德州,26,26,26
泰安,28,28,28
枣庄,19,19,19
淄博,19,19,19
菏泽,11,11,11
日照,13,13,13
滨州,6,6,6
四川,343,436,1
成都,83,83,83
甘孜州,33,33,33
南充,29,29,29
达州,28,28,28
广安,25,25,25
绵阳,18,18,18
巴中,21,21,21
内江,17,17,17
泸州,17,17,17
德阳,16,16,16
攀枝花,5,5,5
遂宁,6,6,6
宜宾,7,7,7
凉山州,9,9,9
自贡,7,7,7
眉山,7,7,7
雅安,4,4,4
广元,5,5,5
乐山,3,3,3
资阳,2,2,2
阿坝州,1,1,1
黑龙江,339,378,8
哈尔滨,135,135,135
绥化,36,36,36
鸡西,42,42,42
双鸭山,36,36,36
齐齐哈尔,28,28,28
大庆,14,14,14
佳木斯,10,10,10
七台河,15,15,15
牡丹江,11,11,11
黑河,6,6,6
鹤岗,4,4,4
大兴安岭,2,2,2
北京,293,352,3
朝阳区,56,56,56
海淀区,56,56,56
西城区,43,43,43
大兴区,35,35,35
丰台区,29,29,29
外地来京人员,23,23,23
昌平区,19,19,19
通州区,16,16,16
房山区,14,14,14
石景山区,13,13,13
东城区,12,12,12
顺义区,10,10,10
怀柔区,7,7,7
密云区,7,7,7
门头沟区,3,3,3
延庆区,1,1,1
待明确地区,0,0,0
上海,253,311,1
外地来沪人员,72,72,72
浦东新区,44,44,44
宝山区,20,20,20
闵行区,15,15,15
徐汇区,15,15,15
静安区,13,13,13
松江区,13,13,13
长宁区,9,9,9
普陀区,11,11,11
奉贤区,8,8,8
杨浦区,8,8,8
嘉定区,7,7,7
虹口区,5,5,5
黄浦区,5,5,5
青浦区,3,3,3
金山区,3,3,3
崇明区,2,2,2
福建,219,272,0
福州,49,49,49
莆田,44,44,44
泉州,30,30,30
厦门,28,28,28
宁德,19,19,19
漳州,16,16,16
南平,16,16,16
三明,12,12,12
龙岩,5,5,5
河北,195,251,2
沧州,24,24,24
唐山,30,30,30
保定,20,20,20
邯郸,24,24,24
廊坊,20,20,20
石家庄,24,24,24
邢台,15,15,15
张家口,18,18,18
秦皇岛,8,8,8
衡水,6,6,6
承德,6,6,6
陕西,182,225,0
西安,95,95,95
安康,17,17,17
汉中,20,20,20
咸阳,13,13,13
渭南,14,14,14
宝鸡,8,8,8
延安,2,2,2
铜川,4,4,4
商洛,6,6,6
榆林,2,2,2
韩城,1,1,1
杨凌,1,1,1
待明确地区,0,0,0
广西,189,222,1
南宁,34,34,34
北海,35,35,35
桂林,26,26,26
柳州,16,16,16
河池,20,20,20
防城港,16,16,16
来宾,11,11,11
玉林,8,8,8
钦州,8,8,8
贵港,8,8,8
梧州,0,0,0
贺州,4,4,4
百色,3,3,3
海南,127,157,3
三亚,42,42,42
海口,19,19,19
儋州,14,14,14
万宁,12,12,12
澄迈,6,6,6
昌江,7,7,7
临高,5,5,5
琼海,5,5,5
陵水,4,4,4
东方,2,2,2
定安,3,3,3
文昌,3,3,3
保亭,3,3,3
乐东,2,2,2
琼中,0,0,0
云南,128,154,0
昆明,39,39,39
西双版纳,13,13,13
玉溪,11,11,11
昭通,12,12,12
曲靖,12,12,12
大理州,10,10,10
保山,9,9,9
丽江,5,5,5
红河州,4,4,4
德宏州,3,3,3
普洱,4,4,4
楚雄州,4,4,4
文山州,2,2,2
临沧,1,1,1
待明确地区,0,0,0
贵州,114,133,1
贵阳,28,28,28
遵义,24,24,24
毕节,20,20,20
黔南州,14,14,14
铜仁,5,5,5
六盘水,8,8,8
黔东南州,8,8,8
黔西南州,3,3,3
安顺,4,4,4
山西,91,124,0
晋中,26,26,26
运城,11,11,11
太原,15,15,15
