Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-13T14:57:05.040Z,43437,48206,1310,3459,1581605825040
武汉,2020-02-13T14:57:05.040Z,30035,32994,1036,1923,1581605825040
孝感,2020-02-13T14:57:05.040Z,2616,2874,49,209,1581605825040
黄冈,2020-02-13T14:57:05.040Z,2177,2662,58,427,1581605825040
荆州,2020-02-13T14:57:05.040Z,1304,1431,23,104,1581605825040
随州,2020-02-13T14:57:05.040Z,1084,1160,14,62,1581605825040
襄阳,2020-02-13T14:57:05.040Z,1022,1101,13,66,1581605825040
鄂州,2020-02-13T14:57:05.040Z,938,1065,30,97,1581605825040
荆门,2020-02-13T14:57:05.040Z,810,927,24,93,1581605825040
黄石,2020-02-13T14:57:05.040Z,787,911,9,115,1581605825040
宜昌,2020-02-13T14:57:05.040Z,727,810,11,72,1581605825040
十堰,2020-02-13T14:57:05.040Z,480,562,1,81,1581605825040
咸宁,2020-02-13T14:57:05.040Z,442,534,7,85,1581605825040
仙桃,2020-02-13T14:57:05.040Z,416,480,16,48,1581605825040
天门,2020-02-13T14:57:05.040Z,339,362,10,13,1581605825040
恩施州,2020-02-13T14:57:05.040Z,177,229,4,48,1581605825040
潜江,2020-02-13T14:57:05.040Z,81,94,5,8,1581605825040
神农架林区,2020-02-13T14:57:05.040Z,2,10,0,8,1581605825040
广东,2020-02-13T14:57:05.040Z,925,1241,2,314,1581605825040
深圳,2020-02-13T14:57:05.040Z,297,391,0,94,1581605825040
广州,2020-02-13T14:57:05.040Z,249,327,0,78,1581605825040
佛山,2020-02-13T14:57:05.040Z,64,81,0,17,1581605825040
东莞,2020-02-13T14:57:05.040Z,63,70,0,7,1581605825040
珠海,2020-02-13T14:57:05.040Z,62,89,0,27,1581605825040
中山,2020-02-13T14:57:05.040Z,42,64,0,22,1581605825040
惠州,2020-02-13T14:57:05.040Z,41,55,0,14,1581605825040
江门,2020-02-13T14:57:05.040Z,18,22,0,4,1581605825040
汕头,2020-02-13T14:57:05.040Z,17,25,0,8,1581605825040
茂名,2020-02-13T14:57:05.040Z,11,13,0,2,1581605825040
湛江,2020-02-13T14:57:05.040Z,10,21,0,11,1581605825040
肇庆,2020-02-13T14:57:05.040Z,8,16,1,7,1581605825040
阳江,2020-02-13T14:57:05.040Z,8,13,0,5,1581605825040
梅州,2020-02-13T14:57:05.040Z,8,13,0,5,1581605825040
清远,2020-02-13T14:57:05.040Z,7,12,0,5,1581605825040
韶关,2020-02-13T14:57:05.040Z,5,8,0,3,1581605825040
揭阳,2020-02-13T14:57:05.040Z,5,8,0,3,1581605825040
潮州,2020-02-13T14:57:05.040Z,5,5,0,0,1581605825040
汕尾,2020-02-13T14:57:05.040Z,4,5,0,1,1581605825040
河源,2020-02-13T14:57:05.040Z,2,3,0,1,1581605825040
待明确地区,2020-02-13T14:57:05.040Z,0,0,1,0,1581605825040
河南,2020-02-13T14:57:05.040Z,863,1169,10,296,1581605825040
信阳,2020-02-13T14:57:05.040Z,191,240,0,49,1581605825040
南阳,2020-02-13T14:57:05.040Z,105,145,2,38,1581605825040
驻马店,2020-02-13T14:57:05.040Z,92,134,0,42,1581605825040
郑州,2020-02-13T14:57:05.040Z,87,141,0,54,1581605825040
商丘,2020-02-13T14:57:05.040Z,60,87,2,25,1581605825040
周口,2020-02-13T14:57:05.040Z,48,68,0,20,1581605825040
新乡,2020-02-13T14:57:05.040Z,45,54,2,7,1581605825040
安阳,2020-02-13T14:57:05.040Z,37,50,0,13,1581605825040
平顶山,2020-02-13T14:57:05.040Z,36,56,1,19,1581605825040
许昌,2020-02-13T14:57:05.040Z,31,34,0,3,1581605825040
漯河,2020-02-13T14:57:05.040Z,27,33,0,6,1581605825040
洛阳,2020-02-13T14:57:05.040Z,26,30,0,4,1581605825040
焦作,2020-02-13T14:57:05.040Z,23,29,1,5,1581605825040
